icao,iata,name,country_code,active
CWA,W2,Canadian Western Airlines,CA,false
CWC,WE,Centurion Air Cargo,US,false
CWK,KR,Comores Airlines,KM,true
CWM,CW,Air Marshall Islands,MH,true
CWS,KT,California Western,US,false
CXA,MF,Xiamen Airlines,CN,true
CXH,XO,China Xinhua Airlines,CN,false
CXI,8C,Shanxi Airlines,CN,false
CXP,XP,Xtra Airways,US,false
CXS,E9,Boston-Maine Airways,US,false
CYD,ZA,Access Air,US,true
CYH,3Q,Yunnan Airlines,CN,true
CYP,CY,Cyprus Airways,CY,true
CYZ,8Y,China Postal Airlines,CN,false
CZV,6V,Via Conectia Airlines,UY,true
DAG,N2,Dagestan Airlines,RU,false
DAH,AH,Air Algerie,DZ,true
DAK,,First Flying,JP,true
DAL,DL,Delta Air Lines,US,true
DAO,D3,Daallo Airlines,DJ,true
DAT,SN,Brussels Airlines,BE,true
DAU,D5,Dauair,DE,false
DBK,,Dubrovnik Air,HR,true
DCD,,Air 26,AO,true
DEA,,Delta Aerotaxi,IT,true
DHI,KI,Adam Air,ID,true
DHL,ER,Astar Air Cargo,US,false
DHX,ES,DHL International,BH,false
DIR,AW,Dirgantara Air Service,ID,false
DJA,HO,Antinea Airlines,DZ,false
DJB,D8,Djibouti Airlines,DJ,true
DKH,HO,Juneyao Airlines,CN,true
DLA,EN,Air Dolomiti,IT,true
DLH,LH,Lufthansa,DE,true
DLT,DW,Deutsche Luftverkehrsgesellschaft,DE,false
DME,,Royal Flight,RU,true
DMO,E3,Domodedovo Airlines,RU,true
DNL,,Dutch Antilles Express,,true
DNM,,Denim Air,NL,true
DNV,D9,Aeroflot-Don,RU,true
DOA,DO,Dominicana de Aviaci,DO,true
DOB,QD,Dobrolet,RU,true
DRD,NM,Air Madrid,ES,true
DRK,KB,Druk Air,BT,true
DRU,6R,Alrosa Mirny Air Enterprise,RU,true
DSM,4M,LAN Argentina,AR,true
DSR,WD,DAS Air Cargo,UG,false
DSV,,Direct Aero Services,RO,true
DSY,DH,Dennis Sky,IL,true
DTA,DT,TAAG Angola Airlines,AO,true
DTH,SF,Tassili Airlines,DZ,false
DTR,DX,DAT Danish Air Transport,DK,true
DVA,DH,Discovery Airways,US,false
DWA,KP,Dense Airways,US,true
DWD,DW,Deutsche Luftverkehrsgesellschaft (DLT),DE,false
DWT,0D,Darwin Airline,CH,true
DYA,,Dynamic Airways,US,true
EAA,,Eastok Avia,KG,true
EAF,E7,European Aviation Air Charter,GB,false
EAL,EA,European Air Express,DE,true
EAV,13,Eastern Atlantic Virtual Airlines,US,true
EAY,EE,Aero Airlines,EE,false
ECA,UI,Eurocypria Airlines,CY,true
ECC,QE,Crossair Europe,CH,false
ECE,4F,Air City,DE,false
ECU,,Ecuavia,EC,true
EDW,WK,Edelweiss Air,CH,true
EEA,EU,Empresa Ecuatoriana De Aviacion,EC,true
EEU,GJ,Eurofly Service,IT,true
EFA,EF,Far Eastern Air Transport,TW,true
EFY,,EasyFly,CO,true
EGF,MQ,American Eagle Airlines,US,true
EGH,,BBN-Airways,GB,true
EGS,,Eagles Airlines,IT,true
EHM,EH,Euro Harmony,PT,false
EHN,,East Horizon,AF,true
EIA,EZ,Evergreen International Airlines,US,true
EIN,EI,Aer Lingus,IE,true
EJA,1I,NetJets,US,true
ELA,DK,Eastland Air,AU,true
ELC,,Small Planet Airlines,LT,true
ELG,E8,Alpi Eagles,IT,false
ELK,,ELK Airways,EE,true
ELL,OV,Estonian Air,EE,true
ELO,K2,Eurolot,PL,true
ELY,LY,El Al Israel Airlines,IL,true
EMX,3W,Euromanx Airways,AT,false
ENJ,,Enerjet,CA,true
ENK,G8,Enkor JSC,,false
ENY,,Envoy Air,US,true
ENZ,,Jota Aviation,GB,true
EQL,KY,Air S,,false
ERO,7L,Sun D'Or,IL,true
ERR,7H,Era Alaska,US,true
ERT,B8,Eritrean Airlines,ER,true
ESF,E7,Estafeta Carga Aerea,MX,false
ESK,NE,SkyEurope,SK,true
ESL,P7,Russian Sky Airlines,RU,false
ESR,ZE,Eastar Jet,KR,true
ESS,E0,Eos Airlines,US,false
ETD,EY,Etihad Airways,AE,true
ETH,ET,Ethiopian Airlines,ET,true
EUD,,Air Italy Egypt,EG,true
EUJ,VE,EUjet,IE,false
EUV,ES,EuropeSky,DE,true
EVA,BR,EVA Air,TW,true
EVC,,Comfort Express Virtual Charters Albany,US,true
EWG,EW,Eurowings,DE,true
EXA,MB,Execair Aviation,CA,false
EXK,OW,Executive Airlines,US,false
EXL,CQ,Sunshine Express Airlines,AU,false
EXS,LS,Jet2.com,GB,true
