icao,iata,name,city,country_code,latitude,longitude,time_zone,airport_type
AYDI,BNT,Bundi Airport,Bundi,PG,-5.742222222220001,145.2275,,small_airport
AYDK,MDM,Munduku Airport,Munduku,PG,-4.6204,143.4516,,small_airport
AYDL,KPF,Kondobol Airport,Kondobol,PG,-8.5336,142.5049,,small_airport
AYDN,DNU,Dinangat Airport,Dinangat,PG,-6.1546,146.6772,,small_airport
AYDO,DOI,Doini Airport,Castori Islets,PG,-10.7009,150.7218,,small_airport
AYDR,DOO,Dorobisoro Airport,Dorobisoro,PG,-9.461855,147.920907,,small_airport
AYDU,DAU,Daru Airport,Daru,PG,-9.08676,143.207993,Pacific/Port_Moresby,medium_airport
AYEA,KRU,Kerau Airport,Gunim,PG,-8.271612,147.071899,,small_airport
AYEB,EMS,Embessa Airport,Embessa,PG,-9.447,148.7628,,small_airport
AYED,XYR,Edwaki Airport,Yellow River Mission,PG,-3.883986,141.792234,Pacific/Port_Moresby,small_airport
AYEE,EMI,Emirau Airport,Emirau Island,PG,-1.653949991,149.9757667,,small_airport
AYEF,EFG,Efogi Airport,Efogi,PG,-9.15380555556,147.659805556,,small_airport
AYEH,MHY,Morehead Airport,Morehead,PG,-8.71411111111,141.644444444,,small_airport
AYEL,EPT,Eliptamin Airport,Eliptamin,PG,-5.0412,141.6779,,small_airport
AYEN,EGA,Engati Airstrip,Engati,PG,-6.9179,146.1053,,small_airport
AYEO,EMO,Emo River Airstrip,Emo Mission,PG,-9.1234,148.0415,,small_airport
AYER,ERU,Erume Airport,Erume,PG,-8.2538,146.9747,,small_airport
AYES,MFZ,Meselia Airport,Demgulu,PG,-6.1364,149.1183,,small_airport
AYET,BOT,Bosset Airport,Bosset,PG,-7.237257,141.1063222,,small_airport
AYEV,ERE,Erave Airport,Erave,PG,-6.60646315446,143.900213242,,small_airport
AYEW,SWE,Siwea Airport,Siwea,PG,-6.284181,147.582371,,small_airport
AYFA,FNE,Fane Airport,Fane Mission,PG,-8.54927777778,147.085833333,Pacific/Port_Moresby,small_airport
AYFE,FRQ,Feramin Airport,Feramin,PG,-5.208,141.6988,,small_airport
AYFI,FIN,Finschhafen Airport,Buki,PG,-6.621750109,147.85405,Pacific/Port_Moresby,small_airport
AYFR,FAQ,Frieda River Airport,Frieda River,PG,-4.610468,141.960138,Pacific/Port_Moresby,small_airport
AYFU,FUM,Fuma Airport,Fuma,PG,-6.3933,142.4408,,small_airport
AYGA,GKA,Goroka Airport,Goronka,PG,-6.081689834590001,145.391998291,Pacific/Port_Moresby,medium_airport
AYGC,GEW,Gewoia Airport,Gewoia,PG,-9.2263,148.4949,,small_airport
AYGF,GUG,Guari Airport,Guari,PG,-8.1286,146.8722,,small_airport
AYGG,GRL,Garasa Airport,Au,PG,-7.980713,147.213461,Pacific/Port_Moresby,small_airport
AYGI,GAR,Garaina Airport,Garaina,PG,-7.875625,147.141266,Pacific/Port_Moresby,small_airport
AYGJ,GAZ,Guasopa Airport,Woodlark (Muyua) Island,PG,-9.225918,152.944352,,small_airport
AYGL,GOE,Gonaili Airport,Gonaili,PG,-5.527716614,151.5733333,,small_airport
AYGN,GUR,Gurney Airport,Gurney,PG,-10.3114995956,150.333999634,Pacific/Port_Moresby,medium_airport
AYGP,GAP,Gusap Airport,Gusap,PG,-6.053196,145.959047,Pacific/Port_Moresby,small_airport
AYGR,PNP,Girua Airport,Popondetta,PG,-8.80453968048,148.309005737,Pacific/Port_Moresby,medium_airport
AYGS,GBC,Gasuke Airport,Gasuke,PG,-6.1028,141.7393,,small_airport
AYGT,GMI,Gasmata Island Airport,Gasmata Island,PG,-6.27111005783,150.330993652,Pacific/Port_Moresby,small_airport
AYGU,AKG,Anguganak Airport,Anguganak,PG,-3.560504,142.217307,,small_airport
AYGV,GVI,Green River Airport,Green River,PG,-3.9022428989400004,141.170516968,Pacific/Port_Moresby,small_airport
AYGX,GOC,Gora Airstrip,Gora,PG,-9.0021,148.2364,,small_airport
AYHB,HBD,Habi Airport,Habi,PG,-6.32,142.4893,,small_airport
AYHE,HNI,Heiweni Airport,Heiweni,PG,-7.4223,146.4276,,small_airport
AYHF,HYF,Hayfields Airport,Bainyik,PG,-3.69838,143.057902,,small_airport
AYHH,HNN,Honinabi Airport,Honinabi,PG,-6.2457,142.1771,,small_airport
AYHK,HKN,Hoskins Airport,Kimbe,PG,-5.463846,150.407327,Pacific/Port_Moresby,medium_airport
AYHO,HIT,Haivaro Airport,Haivaro,PG,-6.9406,143.059,,small_airport
AYHU,HWA,Hawabango Airport,Hawabango,PG,-7.392994,146.003487,,small_airport
AYIA,IIS,Nissan Island Airport,Nissan Island,PG,-4.49972009659,154.225997925,,small_airport
AYID,IDN,Indagen Airport,Indagen,PG,-6.22663,147.244,,small_airport
AYII,IMN,Imane Airport,Imane,PG,-6.7524,146.1072,,small_airport
AYIM,KGM,Kungim Airport,Kungim,PG,-5.671,141.03,,small_airport
AYIO,IMD,Imonda Airport,Imonda,PG,-3.328,141.1573,,small_airport
AYIQ,KIE,Aropa Airport,Kieta,PG,-6.305727,155.728249,Pacific/Bougainville,small_airport
AYIU,IAL,Ialibu Airport,Ialibu,PG,-6.2782,143.9944,,small_airport
AYIW,WSA,Wasua Airport,Wasua,PG,-8.2836,142.8697,,small_airport
AYIX,WIU,Witu Airport,Garove Island,PG,-4.689522,149.440112,,small_airport
AYIY,MPX,Miyanmin Airport,Miyanmin,PG,-4.903055555560001,141.620833333,,small_airport
AYJO,KGH,Yongai Airport,Yongai,PG,-8.5289,147.4603,,small_airport
AYJS,JOP,Josephstaal Airport,Josephstaal,PG,-4.74708333333,145.007083333,,small_airport
AYKA,LSA,Losuia Airport,Losuia,PG,-8.505820274353027,151.08099365234375,Pacific/Port_Moresby,small_airport
AYKB,KBM,Kabwum,,PG,-6.15547222222,147.191472222,Pacific/Port_Moresby,small_airport
AYKC,KDR,Kandrian Airport,Kandrian,PG,-6.19217,149.54783,Pacific/Port_Moresby,small_airport
